x ,y, z, class, r, g, b
-5.775115e+00, -2.024519e+01, 1.094988e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.660970e+01, 2.688038e+01, 3.885359e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-3.072798e+00, -1.998194e+01, 3.829053e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-7.013529e+00, -2.101099e+01, 8.526420e-02, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-2.729896e+00, -1.412892e+01, -4.027191e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-4.914166e+00, -2.038720e+01, 3.769179e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.708354e+00, -2.007394e+01, 3.746202e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-5.524593e+00, -1.888333e+01, 3.742264e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-4.027303e+00, -2.161477e+01, -5.881094e-02, 9.000000e+00, 0.000000e+00, 0.000000e+00, 1.280000e+02
4.537740e+00, -5.503732e+00, 3.144270e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-1.475800e+01, -1.592480e+01, -1.853255e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-5.955703e+00, -2.043682e+01, 1.473878e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-5.832403e-01, -1.947615e+01, 1.481706e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-6.582592e+00, -1.976108e+01, 9.957877e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
2.606084e+01, -4.967097e+00, 2.596375e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-5.845576e+00, -2.043685e+01, -1.135374e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.027667e+00, -2.091989e+01, 4.327811e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.728763e+01, 2.441264e+01, 3.674720e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-7.796598e+00, 3.167650e+01, 4.434587e+00, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
1.618267e+01, 2.489480e+01, 6.471780e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-3.318202e+00, -1.824905e+01, 2.204194e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.811975e+01, 2.522795e+01, 4.910639e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-7.030602e+00, -1.863205e+01, 4.842287e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-8.420429e+00, -1.993114e+01, -3.264249e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.851268e+01, 2.704751e+01, 5.655524e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-6.973812e+00, -2.086389e+01, -8.732936e-01, 1.100000e+01, 1.280000e+02, 0.000000e+00, 1.280000e+02
-8.345936e+00, -2.187485e+01, -1.681191e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
2.651433e+01, -1.285356e+01, 3.361390e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
